"Station_ID","Month_UTC","Year_UTC","appendiculariaAbundance","appendiculariaEstimatedBiomass","bryozoan_larvaeAbundance","bryozoan_larvaeEstimatedBiomass","chaetognathaAbundance","chaetognathaEstimatedBiomass","cnidaria_ctenophoresAbundance","cnidaria_ctenophoresEstimatedBiomass","copepoda_calanoida_minus_eucalanidsAbundance","copepoda_calanoida_minus_eucalanidsEstimatedBiomass","copepoda_eucalanidsAbundance","copepoda_eucalanidsEstimatedBiomass","copepoda_harpacticoidaAbundance","copepoda_harpacticoidaEstimatedBiomass","copepoda_oithona_likeAbundance","copepoda_oithona_likeEstimatedBiomass","copepoda_othersAbundance","copepoda_othersEstimatedBiomass","copepoda_poecilostomatoidsAbundance","copepoda_poecilostomatoidsEstimatedBiomass","crustacea_othersAbundance","crustacea_othersEstimatedBiomass","doliolidsAbundance","doliolidsEstimatedBiomass","eggsAbundance","eggsEstimatedBiomass","euphausiidsAbundance","euphausiidsEstimatedBiomass","multiplesAbundance","multiplesEstimatedBiomass","naupliiAbundance","naupliiEstimatedBiomass","ostracodsAbundance","ostracodsEstimatedBiomass","othersAbundance","othersEstimatedBiomass","polychaeteAbundance","polychaeteEstimatedBiomass","pteropoda_heteropodaAbundance","pteropoda_heteropodaEstimatedBiomass","pyrosomesAbundance","pyrosomesEstimatedBiomass","rhizariaAbundance","rhizariaEstimatedBiomass","salpsAbundance","salpsEstimatedBiomass","pH_min","pH_max","pH_mean","pH_median","pH_var","pH_range","depth_at_pH_min","depth_at_pH_max","OmegaCA_min","OmegaCA_max","OmegaCA_mean","OmegaCA_median","OmegaCA_var","OmegaCA_range","depth_at_OmegaCA_min","depth_at_OmegaCA_max","CO3_min","CO3_max","CO3_mean","CO3_median","CO3_var","CO3_range","depth_at_CO3_min","depth_at_CO3_max","TA_min","TA_max","TA_mean","TA_median","TA_var","TA_range","depth_at_TA_min","depth_at_TA_max","DIC_min","DIC_max","DIC_mean","DIC_median","DIC_var","DIC_range","depth_at_DIC_min","depth_at_DIC_max","pCO2_min","pCO2_max","pCO2_mean","pCO2_median","pCO2_var","pCO2_range","depth_at_pCO2_min","depth_at_pCO2_max","RF_min","RF_max","RF_mean","RF_median","RF_var","RF_range","depth_at_RF_min","depth_at_RF_max","OmegaAR_min","OmegaAR_max","OmegaAR_mean","OmegaAR_median","OmegaAR_var","OmegaAR_range","depth_at_OmegaAR_min","depth_at_OmegaAR_max","YearMonth","Longitude","Latitude"
"080.0 051.0",4,2019,14859.84,34.45,741.23,0.75,1451.57,2.74,1063.31,27.92,75322.82,382.73,0,0,0,0,22589.79,33.39,0,0,44544.23,106.09,2682.54,18.87,0,0,6706.34,45.72,388.26,0.93,388.26,4.07,24389.91,36.94,0,0,3211.99,2.13,352.97,3.42,2188.39,2.36,0,0,1411.86,0.72,0,0,7.84531836795874,7.84531836795874,7.84531836795874,7.84531836795874,NA,0,2.9,2.9,2.14165396017755,2.14165396017755,2.14165396017755,2.14165396017755,NA,0,2.9,2.9,89.2862116323479,89.2862116323479,89.2862116323479,89.2862116323479,NA,0,2.9,2.9,2244.8,2244.8,2244.8,2244.8,NA,0,2.9,2.9,2137.2,2137.2,2137.2,2137.2,NA,0,2.9,2.9,656.611500549609,656.611500549609,656.611500549609,656.611500549609,NA,0,2.9,2.9,15.5893619891039,15.5893619891039,15.5893619891039,15.5893619891039,NA,0,2.9,2.9,1.36268769493682,1.36268769493682,1.36268769493682,1.36268769493682,NA,0,2.9,2.9,2019-04-01,-120.5239,34.45
"080.0 051.0",5,2021,72467.53,173.21,2493.51,3.37,3740.26,3.32,0,0,724831.17,3698.37,0,0,0,0,7636.36,10.18,0,0,55168.83,112.01,10129.87,63.12,0,0,14964.16,224.67,10285.71,6.33,0,0,177818.18,283.59,0,0,40519.48,20.22,0,0,5142.86,2.47,6.23,61.45,9974.03,6.55,0,0,8.20290467262465,8.20290467262465,8.20290467262465,8.20290467262465,NA,0,3,3,4.36505617508628,4.36505617508628,4.36505617508628,4.36505617508628,NA,0,3,3,172.006836057042,172.006836057042,172.006836057042,172.006836057042,NA,0,3,3,2248,2248,2248,2248,NA,0,3,3,2020.8,2020.8,2020.8,2020.8,NA,0,3,3,284.100030033264,284.100030033264,284.100030033264,284.100030033264,NA,0,3,3,11.5590556926456,11.5590556926456,11.5590556926456,11.5590556926456,NA,0,3,3,2.71909984381272,2.71909984381272,2.71909984381272,2.71909984381272,NA,0,3,3,2021-05-01,-120.5239,34.45
"080.0 051.0",6,2018,3921.48,20.11,653.58,0.41,6012.94,245.64,1642.12,43.52,128767.54,508.52,196.07,85.31,0,0,12091.23,18.9,326.79,0.41,2614.32,11.1,6241.69,3.79,0,0,2320.21,18.79,3039.15,9.76,0,0,9150.12,37.8,0,0,0,0,0,0,32.68,0.02,0,0,326.79,0.09,85.78,56.59,8.08559039525128,8.08559039525128,8.08559039525128,8.08559039525128,NA,0,2,2,4.19683586543916,4.19683586543916,4.19683586543916,4.19683586543916,NA,0,2,2,174.339118500805,174.339118500805,174.339118500805,174.339118500805,NA,0,2,2,2245.9,2245.9,2245.9,2245.9,NA,0,2,2,2001.6,2001.6,2001.6,2001.6,NA,0,2,2,353.602643021854,353.602643021854,353.602643021854,353.602643021854,NA,0,2,2,10.7188178832492,10.7188178832492,10.7188178832492,10.7188178832492,NA,0,2,2,2.70267694716554,2.70267694716554,2.70267694716554,2.70267694716554,NA,0,2,2,2018-06-01,-120.5239,34.45
"080.0 051.0",7,2014,49741.18,452.42,1317.65,1.37,2849.41,65.68,7251.18,163.28,151447.06,808.02,2182.35,387.54,988.24,0.18,28123.53,35.89,1647.06,1.47,19229.41,55.76,118431.76,161.09,741.18,1.01,2964.71,28.65,4694.12,91.71,5435.29,104.05,8605.88,22.06,0,0,2305.88,1.84,700,19.33,6341.18,139.81,0,0,2305.88,1.76,0,0,7.79235991020112,8.07928532729719,7.9687294394345,8.00163626011983,0.0159037910625208,0.286925417096071,65,2,1.84259506607592,4.43987879767972,3.14178464640886,3.1423323609399,1.17598544634192,2.5972837316038,65,2,77.6642100718354,183.828062887918,131.045057433582,131.343978387288,1966.2433645721,106.163852816083,65,2,2231,2241.3,2235.725,2235.3,20.329166666667,10.3000000000002,40,2,1983.5,2150.8,2060.475,2053.8,4919.22916666668,167.3,2,65,359.069638890939,740.780150229676,494.826089347609,439.72728413491,29268.2291217822,381.710511338737,2,65,10.3709635442699,16.553532840544,13.0742353187302,12.6862224450534,6.84641314818779,6.1825692962741,2,65,1.17145467747454,2.8744200741859,2.01530050168709,2.00766362754395,0.505115531455802,1.70296539671136,65,2,2014-07-01,-120.5239,34.45
"080.0 051.0",7,2015,212560.83,2245.33,32716.67,23.04,24662.08,463.18,10400,244.94,976083.33,4907.41,0,0,2166.67,0.4,101405.42,122.83,3250,4.97,26433.33,77.71,631366.67,111.25,0,0,470816.67,1941.25,14300,81.97,65216.67,1332.88,161850,260.19,0,0,703522.08,259.5,2166.67,24.89,13000,12.39,0,0,0,0,0,0,7.82119865343169,8.09593969969442,7.95721097963432,7.98497130472276,0.0147836840533586,0.274741046262729,60,2,1.96975760462594,4.24936704982936,2.9531797632262,3.00690992368904,0.916859250429987,2.27960944520342,60,2,82.8461501107894,176.159577265596,123.255342047908,125.624173064411,1543.09712928166,93.3134271548066,60,2,2228,2237.1,2232.32,2232.9,17.442,9.09999999999991,60,2,1989.9,2131.7,2069.14,2063.8,3564.22299999999,141.8,2,60,343.190303721972,688.295762011604,508.048420745223,458.28316469782,24172.4526494563,345.105458289632,2,60,10.6365548888962,16.09310398971,13.4850640830204,12.991643764989,5.60007842533786,5.4565491008138,2,60,1.2525544024406,2.73503545817496,1.88855653106859,1.91976683049992,0.386424636205112,1.48248105573436,60,2,2015-07-01,-120.5239,34.45
"080.0 051.0",7,2019,3869.2,32.59,8509.51,7.34,5402.28,59.69,1642.59,52.91,90634.22,372.98,401.52,41.79,0,0,10950.57,17.97,0,0,15805.32,43.36,6063.88,156.85,365.02,0.08,8468.44,89.23,474.52,1.64,1861.6,8.83,12410.65,88.09,365.02,0.11,4051.71,1.54,438.02,10.7,2705.7,1.85,0,0,4015.21,1.9,0,0,7.99340201215312,7.99340201215312,7.99340201215312,7.99340201215312,NA,0,2,2,3.15137777538603,3.15137777538603,3.15137777538603,3.15137777538603,NA,0,2,2,131.198966229365,131.198966229365,131.198966229365,131.198966229365,NA,0,2,2,2248,2248,2248,2248,NA,0,2,2,2070.4,2070.4,2070.4,2070.4,NA,0,2,2,452.201408407444,452.201408407444,452.201408407444,452.201408407444,NA,0,2,2,12.7084602783334,12.7084602783334,12.7084602783334,12.7084602783334,NA,0,2,2,2.01440973983231,2.01440973983231,2.01440973983231,2.01440973983231,NA,0,2,2,2019-07-01,-120.5239,34.45
"080.0 051.0",7,2020,3961.66,16.02,7923.33,8.39,2659.97,75.65,3684.35,123.1,130565.12,664.44,113.19,146.57,565.95,1.53,50992.27,72.75,565.95,0.48,18110.46,34.81,56.6,3.94,56.6,0.66,57387.53,216.94,622.55,7.18,3395.71,9.04,20940.22,75.95,3452.31,5.01,39616.64,23.23,1811.05,25.04,1245.09,1.17,0,0,5093.57,4.43,0,0,7.92823566787464,7.92823566787464,7.92823566787464,7.92823566787464,NA,0,1,1,2.67980112179773,2.67980112179773,2.67980112179773,2.67980112179773,NA,0,1,1,111.592390884604,111.592390884604,111.592390884604,111.592390884604,NA,0,1,1,2245,2245,2245,2245,NA,0,1,1,2099.4,2099.4,2099.4,2099.4,NA,0,1,1,534.245523926946,534.245523926946,534.245523926946,534.245523926946,NA,0,1,1,13.9141430299281,13.9141430299281,13.9141430299281,13.9141430299281,NA,0,1,1,1.70987805564199,1.70987805564199,1.70987805564199,1.70987805564199,NA,0,1,1,2020-07-01,-120.5239,34.45
"080.0 051.0",8,2017,13240.35,59.31,957.71,0.95,10917.91,57.52,3208.33,80.96,125101,549.94,23.94,16.64,0,0,24182.2,30.54,0,0,24661.06,66.41,24014.6,13.56,0,0,1436.57,32.97,622.51,10.29,3136.5,22.71,5746.27,20.09,1197.14,2,5075.87,2.74,47.89,1.36,3351.99,2.73,0,0,3112.56,2.73,0,0,7.7900120333254,8.03504277648899,7.86967362208962,7.82681983927204,0.0131389260908019,0.245030743163589,50,2,1.83894105339269,3.68710306999318,2.39441791075993,2.02581375982692,0.77124884146895,1.84816201660049,50,2,77.2353902825672,153.02120157507,100.078437857785,85.0285797867518,1292.44816736129,75.7858112925028,50,2,2227.5,2234.8,2231.05,2230.95,8.97666666666718,7.30000000000018,30,2,2023.4,2145.1,2106.875,2129.5,3295.06249999999,121.7,2,50,404.310537343177,745.151091005371,628.480428518843,682.230042863412,25037.7311908146,340.840553662194,2,50,11.559714042232,16.573962069006,14.9913418285475,15.915845601476,5.56748350438359,5.014248026774,2,50,1.16899402382967,2.36886394888098,1.52890912936013,1.28888927236494,0.325306553383969,1.19986992505131,50,2,2017-08-01,-120.5239,34.45
"080.0 051.0",10,2020,5708.91,17.04,2594.96,1.42,1349.38,10.09,31.14,2.48,150663.26,546.21,0,0,0,0,30698.35,41.74,0,0,12481.75,33.29,78912.67,13.07,0,0,1037.98,5.06,129.75,7.95,1037.98,9,2594.96,5.77,1582.92,1.23,15050.76,8.66,0,0,1037.98,1.55,0,0,1063.93,0.43,0,0,8.06731891189056,8.06731891189056,8.06731891189056,8.06731891189056,NA,0,1,1,4.02764735298453,4.02764735298453,4.02764735298453,4.02764735298453,NA,0,1,1,167.136439173459,167.136439173459,167.136439173459,167.136439173459,NA,0,1,1,2244.5,2244.5,2244.5,2244.5,NA,0,1,1,2011.4,2011.4,2011.4,2011.4,NA,0,1,1,371.967540211263,371.967540211263,371.967540211263,371.967540211263,NA,0,1,1,10.9946856019974,10.9946856019974,10.9946856019974,10.9946856019974,NA,0,1,1,2.59205936927908,2.59205936927908,2.59205936927908,2.59205936927908,NA,0,1,1,2020-10-01,-120.5239,34.45
"080.0 051.0",11,2014,3615,25.69,1500,1.42,3405,41.79,15,1,118635,583.82,15,4.57,2700,0.45,20250,59.14,450,0.32,14400,22.2,9810,18.85,15,0.05,615,62.12,1530,18.53,900,3.99,1200,3.18,1800,5.33,2400,3.56,2250,18.9,8130,16.84,0,0,900,0.59,0,0,7.96053048224531,8.02646295254808,7.99373514216565,7.9939735669346,0.001315351827951,0.0659324703027702,51,2,2.77461160885405,3.5956622390653,3.1882433141226,3.19134970428553,0.201852710434751,0.82105063021125,64,2,116.606101480063,149.206330381044,133.120398351578,133.334580772603,326.750079197286,32.600228900981,64,2,2221.4,2232.8,2227.025,2226.95,40.0425000000004,11.4000000000001,51,2,2027.1,2066.4,2046.25,2045.75,472.550000000001,39.3000000000002,2,64,413.403394961188,485.071914325357,448.093292571569,446.948930499865,1536.4000399923,71.668519364169,2,51,11.7284094290404,13.5019635839323,12.5962590595814,12.5773316126764,0.963656272793191,1.7735541548919,2,64,1.7689909330928,2.30877372114704,2.04143396602438,2.04398560492884,0.0872351303936442,0.53978278805424,64,2,2014-11-01,-120.5239,34.45
"080.0 051.0",11,2015,2600,20.88,400,0.24,4965,77.57,885,29.2,69225,190.19,120,40.2,0,0,47700,72.99,300,0.26,10700,13.14,200,0.08,200,0.53,700,7.19,305,1369.62,1500,6.35,600,1.18,200,0.29,900,0.7,0,0,1440,9.76,0,0,1000,0.5,0,0,7.91934586036478,8.29498392230025,8.04065583856989,8.0043241236245,0.022859579643465,0.37563806193547,60,50,2.57728799440012,5.84286000202391,3.61547756342114,3.23385705922011,1.7789065770364,3.26557200762379,60,50,108.178689751706,244.739075415304,151.115661157567,134.873118375704,3109.4179487161,136.560385663598,60,50,2222.6,2415.2,2264.78,2228.6,7085.46199999999,192.6,60,50,2012.4,2082.1,2058.1,2069,814.084999999998,69.6999999999998,2,60,212.308744645063,539.094541814893,418.666043845655,436.745161711907,16850.8883317923,326.78579716983,50,60,9.35077460962625,14.0806461116218,12.2295082146598,12.4673553703557,3.75342174886267,4.72987150199555,50,60,1.64448471141808,3.7324450512658,2.31197057665987,2.06864054629829,0.727551084490968,2.08796033984772,60,50,2015-11-01,-120.5239,34.45
